time;model_id;model_name;port_name;data
0;1;transducer;;{0,0,0}
0;2;generator;;0
0;4;server2;;inf
0;5;server1;;inf
0;6;server3;;inf
0;7;loadBalancer;;inf
0;1;transducer;;{0,1,0}
0;2;generator;outGenerated;{0,0,-1, Priority: 3}
0;2;generator;;1
0;7;loadBalancer;;0.1
0.1;5;server1;;2.7568
0.1;7;loadBalancer;out1;{0,0,0}
0.1;7;loadBalancer;;inf
0.7;1;transducer;;{0,2,0}
0.7;2;generator;outGenerated;{1,1.4,-1, Priority: 3}
0.7;2;generator;;2
0.7;7;loadBalancer;;0.1
0.8;4;server2;;1.35111
0.8;7;loadBalancer;out2;{1,1.4,1.4}
0.8;7;loadBalancer;;inf
1.4;1;transducer;;{0,3,0}
1.4;2;generator;outGenerated;{2,2.1,-1, Priority: 2}
1.4;2;generator;;3
1.4;7;loadBalancer;;0.1
1.5;6;server3;;4.0614
1.5;7;loadBalancer;out3;{2,2.1,2.1}
1.5;7;loadBalancer;;inf
2.1;1;transducer;;{0,4,0}
2.1;2;generator;outGenerated;{3,2.8,-1, Priority: 2}
2.1;2;generator;;4
2.1;7;loadBalancer;;0.1
2.15111;1;transducer;;{1.35111,4,1}
2.15111;4;server2;outProcessed;{1,1.4,2.75111}
2.15111;4;server2;;inf
2.2;5;server1;;0.656798
2.2;7;loadBalancer;out1;{3,2.8,2.8}
2.2;7;loadBalancer;;inf
2.8;1;transducer;;{1.35111,5,1}
2.8;2;generator;outGenerated;{4,3.5,-1, Priority: 4}
2.8;2;generator;;5
2.8;7;loadBalancer;;0.1
2.8568;1;transducer;;{4.10791,5,2}
2.8568;5;server1;outProcessed;{0,0,2.7568}
2.8568;5;server1;;6.08331
2.9;4;server2;;5.03267
2.9;7;loadBalancer;out2;{4,3.5,3.5}
2.9;7;loadBalancer;;inf
3.5;1;transducer;;{4.10791,6,2}
3.5;2;generator;outGenerated;{5,4.2,-1, Priority: 1}
3.5;2;generator;;6
3.5;7;loadBalancer;;0.1
3.6;6;server3;;1.9614
3.6;7;loadBalancer;out3;{5,4.2,4.2}
3.6;7;loadBalancer;;inf
4.2;1;transducer;;{4.10791,7,2}
4.2;2;generator;outGenerated;{6,4.9,-1, Priority: 4}
4.2;2;generator;;7
4.2;7;loadBalancer;;0.1
4.3;5;server1;;4.64011
4.3;7;loadBalancer;out1;{6,4.9,4.9}
4.3;7;loadBalancer;;inf
4.9;1;transducer;;{4.10791,8,2}
4.9;2;generator;outGenerated;{7,5.6,-1, Priority: 1}
4.9;2;generator;;8
4.9;7;loadBalancer;;0.1
5;4;server2;;2.93267
5;7;loadBalancer;out2;{7,5.6,5.6}
5;7;loadBalancer;;inf
5.5614;1;transducer;;{8.16931,8,3}
5.5614;6;server3;outProcessed;{2,2.1,6.1614}
5.5614;6;server3;;2.70844
5.6;1;transducer;;{8.16931,9,3}
5.6;2;generator;outGenerated;{8,6.3,-1, Priority: 5}
5.6;2;generator;;9
5.6;7;loadBalancer;;0.1
5.7;6;server3;;2.56984
5.7;7;loadBalancer;out3;{8,6.3,6.3}
5.7;7;loadBalancer;;inf
6.3;1;transducer;;{8.16931,10,3}
6.3;2;generator;outGenerated;{9,7,-1, Priority: 3}
6.3;2;generator;;10
6.3;7;loadBalancer;;0.1
6.4;5;server1;;2.54011
6.4;7;loadBalancer;out1;{9,7,7}
6.4;7;loadBalancer;;inf
7;1;transducer;;{8.16931,11,3}
7;2;generator;outGenerated;{10,7.7,-1, Priority: 3}
7;2;generator;;11
7;7;loadBalancer;;0.1
7.1;4;server2;;0.83267
7.1;7;loadBalancer;out2;{10,7.7,7.7}
7.1;7;loadBalancer;;inf
7.7;1;transducer;;{8.16931,12,3}
7.7;2;generator;outGenerated;{11,8.4,-1, Priority: 3}
7.7;2;generator;;12
7.7;7;loadBalancer;;0.1
7.8;6;server3;;0.469837
7.8;7;loadBalancer;out3;{11,8.4,8.4}
7.8;7;loadBalancer;;inf
7.93267;1;transducer;;{13.202,12,4}
7.93267;4;server2;outProcessed;{4,3.5,8.53267}
7.93267;4;server2;;0.30371
8.23638;1;transducer;;{21.3552,12,5}
8.23638;4;server2;outProcessed;{7,5.6,13.7532}
8.23638;4;server2;;7.32214
8.26984;1;transducer;;{23.6375,12,6}
8.26984;6;server3;outProcessed;{5,4.2,6.48234}
8.26984;6;server3;;1.51164
8.4;1;transducer;;{23.6375,13,6}
8.4;2;generator;outGenerated;{12,9.1,-1, Priority: 4}
8.4;2;generator;;13
8.4;7;loadBalancer;;0.1
8.5;5;server1;;0.440109
8.5;7;loadBalancer;out1;{12,9.1,9.1}
8.5;7;loadBalancer;;inf
8.94011;1;transducer;;{24.8949,13,7}
8.94011;5;server1;outProcessed;{3,2.8,4.05745}
8.94011;5;server1;;0.188413
9.1;1;transducer;;{24.8949,14,7}
9.1;2;generator;outGenerated;{13,9.8,-1, Priority: 1}
9.1;2;generator;;14
9.1;7;loadBalancer;;0.1
9.12852;1;transducer;;{25.9309,14,8}
9.12852;5;server1;outProcessed;{6,4.9,5.936}
9.12852;5;server1;;0.242775
9.2;4;server2;;6.35852
9.2;7;loadBalancer;out2;{13,9.8,9.8}
9.2;7;loadBalancer;;inf
9.3713;1;transducer;;{26.389,14,9}
9.3713;5;server1;outProcessed;{9,7,7.45804}
9.3713;5;server1;;1.49371
9.78147;1;transducer;;{28.0791,14,10}
9.78147;6;server3;outProcessed;{8,6.3,7.99011}
9.78147;6;server3;;1.81055
9.8;1;transducer;;{28.0791,15,10}
9.8;2;generator;outGenerated;{14,10.5,-1, Priority: 5}
9.8;2;generator;;15
9.8;7;loadBalancer;;0.1
9.9;6;server3;;1.69203
9.9;7;loadBalancer;out3;{14,10.5,10.5}
9.9;7;loadBalancer;;inf
10.5;1;transducer;;{28.0791,16,10}
10.5;2;generator;outGenerated;{15,11.2,-1, Priority: 2}
10.5;2;generator;;16
10.5;7;loadBalancer;;0.1
10.6;5;server1;;0.265003
10.6;7;loadBalancer;out1;{15,11.2,11.2}
10.6;7;loadBalancer;;inf
10.865;1;transducer;;{33.0835,16,11}
10.865;5;server1;outProcessed;{12,9.1,14.1044}
10.865;5;server1;;3.14723
11.2;1;transducer;;{33.0835,17,11}
11.2;2;generator;outGenerated;{16,11.9,-1, Priority: 2}
11.2;2;generator;;17
11.2;7;loadBalancer;;0.1
11.3;4;server2;;4.25852
11.3;7;loadBalancer;out2;{16,11.9,11.9}
11.3;7;loadBalancer;;inf
11.592;1;transducer;;{36.2764,17,12}
11.592;6;server3;outProcessed;{11,8.4,11.5929}
11.592;6;server3;;2.30551
11.9;1;transducer;;{36.2764,18,12}
11.9;2;generator;outGenerated;{17,12.6,-1, Priority: 4}
11.9;2;generator;;18
11.9;7;loadBalancer;;0.1
12;6;server3;;1.89754
12;7;loadBalancer;out3;{17,12.6,12.6}
12;7;loadBalancer;;inf
12.6;1;transducer;;{36.2764,19,12}
12.6;2;generator;outGenerated;{18,13.3,-1, Priority: 1}
12.6;2;generator;;19
12.6;7;loadBalancer;;0.1
12.7;5;server1;;1.31223
12.7;7;loadBalancer;out1;{18,13.3,13.3}
12.7;7;loadBalancer;;inf
13.3;1;transducer;;{36.2764,20,12}
13.3;2;generator;outGenerated;{19,14,-1, Priority: 2}
13.3;2;generator;;20
13.3;7;loadBalancer;;0.1
13.4;4;server2;;2.15852
13.4;7;loadBalancer;out2;{19,14,14}
13.4;7;loadBalancer;;inf
13.8975;1;transducer;;{39.5106,20,13}
13.8975;6;server3;outProcessed;{14,10.5,13.7342}
13.8975;6;server3;;0.620787
14;1;transducer;;{39.5106,21,13}
14;2;generator;outGenerated;{20,14.7,-1, Priority: 2}
14;2;generator;;21
14;7;loadBalancer;;0.1
14.0122;1;transducer;;{41.1768,21,14}
14.0122;5;server1;outProcessed;{15,11.2,12.8662}
14.0122;5;server1;;0.887957
14.1;6;server3;;0.418326
14.1;7;loadBalancer;out3;{20,14.7,14.7}
14.1;7;loadBalancer;;inf
14.5183;1;transducer;;{41.6105,21,15}
14.5183;6;server3;outProcessed;{17,12.6,13.0337}
14.5183;6;server3;;5.65172
14.7;1;transducer;;{41.6105,22,15}
14.7;2;generator;outGenerated;{21,15.4,-1, Priority: 5}
14.7;2;generator;;22
14.7;7;loadBalancer;;0.1
14.8;5;server1;;0.100189
14.8;7;loadBalancer;out1;{21,15.4,15.4}
14.8;7;loadBalancer;;inf
14.9002;1;transducer;;{43.6866,22,16}
14.9002;5;server1;outProcessed;{18,13.3,15.376}
14.9002;5;server1;;0.179522
15.0797;1;transducer;;{49.7375,22,17}
15.0797;5;server1;outProcessed;{21,15.4,21.4509}
15.0797;5;server1;;inf
15.4;1;transducer;;{49.7375,23,17}
15.4;2;generator;outGenerated;{22,16.1,-1, Priority: 4}
15.4;2;generator;;23
15.4;7;loadBalancer;;0.1
15.5;4;server2;;0.058524
15.5;7;loadBalancer;out2;{22,16.1,16.1}
15.5;7;loadBalancer;;inf
15.5585;1;transducer;;{54.1426,23,18}
15.5585;4;server2;outProcessed;{10,7.7,12.1051}
15.5585;4;server2;;1.92849
16.1;1;transducer;;{54.1426,24,18}
16.1;2;generator;outGenerated;{23,16.8,-1, Priority: 3}
16.1;2;generator;;24
16.1;7;loadBalancer;;0.1
16.2;6;server3;;3.97005
16.2;7;loadBalancer;out3;{23,16.8,16.8}
16.2;7;loadBalancer;;inf
16.8;1;transducer;;{54.1426,25,18}
16.8;2;generator;outGenerated;{24,17.5,-1, Priority: 1}
16.8;2;generator;;25
16.8;7;loadBalancer;;0.1
16.9;5;server1;;1.29503
16.9;7;loadBalancer;out1;{24,17.5,17.5}
16.9;7;loadBalancer;;inf
17.487;1;transducer;;{56.6989,25,19}
17.487;4;server2;outProcessed;{13,9.8,12.3564}
17.487;4;server2;;4.01493
17.5;1;transducer;;{56.6989,26,19}
17.5;2;generator;outGenerated;{25,18.2,-1, Priority: 3}
17.5;2;generator;;26
17.5;7;loadBalancer;;0.1
17.6;4;server2;;3.90195
17.6;7;loadBalancer;out2;{25,18.2,18.2}
17.6;7;loadBalancer;;inf
18.195;1;transducer;;{57.994,26,20}
18.195;5;server1;outProcessed;{24,17.5,18.795}
